tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
liv,2023,2023,2023-02-26,Mayakoba,9,"Oosthuizen, Louis",7672,T41,1,El Camaleón Golf Course at Mayakoba,1,71,,,76,,,,,,-4.333,307.5,0.571,0.556,,,,,,0.0,3.0,10.0,3.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Watson, Bubba",7334,40,1,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-0.333,313.0,0.643,0.5,,,,,,0.0,3.0,11.0,4.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Stenson, Henrik",5994,T23,3,El Camaleón Golf Course at Mayakoba,1,71,,,69,,,,,,1.917,303.0,0.786,0.778,,,,,,0.0,3.0,14.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Stenson, Henrik",5994,T23,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,331.0,0.929,0.556,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Stenson, Henrik",5994,T23,1,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-1.333,245.5,0.5,0.667,,,,,,0.0,3.0,11.0,3.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Munoz, Sebastian",20770,T7,1,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-0.333,301.0,0.357,0.5,,,,,,0.0,3.0,11.0,4.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Munoz, Sebastian",20770,T7,2,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,3.0,303.5,0.643,0.833,,,,,,1.0,4.0,11.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Munoz, Sebastian",20770,T7,3,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,2.917,316.5,0.643,0.833,,,,,,0.0,6.0,9.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Ortiz, Carlos",14735,T7,1,El Camaleón Golf Course at Mayakoba,1,71,,,67,,,,,,4.667,328.0,0.571,0.611,,,,,,1.0,4.0,11.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Ortiz, Carlos",14735,T7,2,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,1.0,308.5,0.5,0.556,,,,,,0.0,4.0,11.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Ortiz, Carlos",14735,T7,3,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,-0.083,309.5,0.429,0.556,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Steele, Brendan",11019,T5,3,El Camaleón Golf Course at Mayakoba,1,71,,,65,,,,,,5.917,319.5,0.571,0.778,,,,,,1.0,6.0,10.0,0.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Wolff, Matthew",25919,T7,1,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,1.667,332.0,0.643,0.556,,,,,,0.0,5.0,11.0,0.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Wolff, Matthew",25919,T7,3,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,-0.083,292.5,0.643,0.667,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Perez, Pat",6762,T7,1,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.667,262.0,0.429,0.667,,,,,,0.0,4.0,11.0,2.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Perez, Pat",6762,T7,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,290.0,0.5,0.722,,,,,,0.0,4.0,12.0,0.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Perez, Pat",6762,T7,3,El Camaleón Golf Course at Mayakoba,1,71,,,66,,,,,,4.917,315.0,0.571,0.667,,,,,,0.0,7.0,10.0,0.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Poulter, Ian",1435,T11,1,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,3.667,291.0,0.357,0.556,,,,,,0.0,4.0,13.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Poulter, Ian",1435,T11,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,303.5,0.429,0.722,,,,,,0.0,2.0,14.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Wolff, Matthew",25919,T7,2,El Camaleón Golf Course at Mayakoba,1,71,,,67,,,,,,4.0,304.5,0.571,0.778,,,,,,0.0,7.0,8.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Poulter, Ian",1435,T11,3,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,0.917,306.0,0.5,0.611,,,,,,0.0,4.0,11.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Steele, Brendan",11019,T5,2,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,1.0,318.5,0.571,0.667,,,,,,0.0,4.0,11.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Smith, Cameron",15856,T5,3,El Camaleón Golf Course at Mayakoba,1,71,,,67,,,,,,3.917,322.5,0.5,0.722,,,,,,0.0,5.0,12.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Howell III, Charles",6892,1,1,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,3.667,313.5,0.929,0.889,,,,,,0.0,5.0,12.0,0.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Howell III, Charles",6892,1,2,El Camaleón Golf Course at Mayakoba,1,71,,,66,,,,,,5.0,310.5,0.429,0.833,,,,,,0.0,6.0,11.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Howell III, Charles",6892,1,3,El Camaleón Golf Course at Mayakoba,1,71,,,63,,,,,,7.917,322.0,0.643,0.667,,,,,,0.0,8.0,10.0,0.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Uihlein, Peter",11357,2,1,El Camaleón Golf Course at Mayakoba,1,71,,,67,,,,,,4.667,347.5,0.5,0.722,,,,,,1.0,3.0,13.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Uihlein, Peter",11357,2,2,El Camaleón Golf Course at Mayakoba,1,71,,,66,,,,,,5.0,322.5,0.429,0.722,,,,,,0.0,7.0,9.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Uihlein, Peter",11357,2,3,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,2.917,318.5,0.286,0.667,,,,,,1.0,5.0,10.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Steele, Brendan",11019,T5,1,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-0.333,320.0,0.571,0.5,,,,,,0.0,2.0,13.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Grace, Branden",11952,3,1,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,3.667,308.0,0.357,0.556,,,,,,1.0,3.0,12.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Grace, Branden",11952,3,3,El Camaleón Golf Course at Mayakoba,1,71,,,67,,,,,,3.917,317.0,0.5,0.611,,,,,,0.0,5.0,12.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Casey, Paul",7108,4,1,El Camaleón Golf Course at Mayakoba,1,71,,,65,,,,,,6.667,309.5,0.571,0.722,,,,,,0.0,8.0,9.0,0.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Casey, Paul",7108,4,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,316.0,0.643,0.833,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Casey, Paul",7108,4,3,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,0.917,326.5,0.714,0.667,,,,,,0.0,2.0,15.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Smith, Cameron",15856,T5,1,El Camaleón Golf Course at Mayakoba,1,71,,,69,,,,,,2.667,299.0,0.5,0.5,,,,,,0.0,6.0,8.0,4.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Smith, Cameron",15856,T5,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,309.0,0.5,0.556,,,,,,0.0,3.0,12.0,3.0,0.0
