USER,TOURNAMENT,PICK,EARNINGS
Seanpins (1),AT&T Pebble Beach Pro-Am,H. Matsuyama,515000
Seanpins (1),WM Phoenix Open,S. Woo Kim,439680
Seanpins (1),Masters Tournament,J. Rahm,112500
Seanpins (1),Valero Texas Open,T. Fleetwood,237650
Seanpins (1),Texas Children's Houston Open,N. Hojgaard,1079100
Seanpins (1),Valspar Championship,M. Fitzpatrick,1638000
soonertrojan (1),The Players Championship,S. Scheffler,301389
soonertrojan (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
soonertrojan (1),Cognizant Classic,S. Lowry,726400
soonertrojan (1),The Genesis Invitational,R. McIlroy,1800000
soonertrojan (1),AT&T Pebble Beach Pro-Am,P. Cantlay,342750
soonertrojan (1),WM Phoenix Open,H. Matsuyama,1046400
soonertrojan (1),Masters Tournament,X. Schauffele,700000
soonertrojan (1),Valero Texas Open,R. Henley,-50000
soonertrojan (1),Texas Children's Houston Open,A. Scott,96525
soonertrojan (1),Valspar Championship,V. Hovland,-50000
sportsrgood55 (1),The Players Championship,R. Henley,454476
